trial,instr,fired_lanes,n_fired,ct0,ct1,ct2,ct3,diff_count_0,diff_count_1,diff_count_2,diff_count_3,col_0,col_1,col_2,col_3
i5348,5348,"0,1,2,3",4,3925841d02b609fbdc118597196a0b32,8df4e9aac583573a27d8d055d6e4d64b,2f49671c7ab41b2f435d9b650e35b8c1,e16b676be4f3d87d83edb9aef7b847f4,1,1,1,1,-1,-1,-1,-1
i5352,5352,"0,1,2",3,3925371d02dc09fbdc118597196a0b32,8df415aac5c7573a27d8d055d6e4d64b,2f494e1c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,1,1,1,0,-1,-1,-1,-1
i5356,5356,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d637,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b8470f,0,1,0,1,-1,-1,-1,-1
i5360,5360,"0,1,2,3",4,3925841d02dc09fbdc118597196a0bd1,8df4e9aac5c7573a27d8d055d6e4d6e8,2f49671c7ab81b2f435d9b650e35b879,e16b676be413d87d83edb9aef7b84733,1,1,1,1,-1,-1,-1,-1
i5364,5364,"0,2",2,3925841d02dc09fbdc118597196a0b0b,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b840,e16b676be413d87d83edb9aef7b847f4,1,0,1,0,-1,-1,-1,-1
i5368,5368,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b0b,8df4e9aac5c7573a27d8d055d6e4d637,2f49671c7ab81b2f435d9b650e35b840,e16b676be413d87d83edb9aef7b8470f,1,1,1,1,-1,-1,-1,-1
i5372,5372,"0,1,2,3",4,392584a702dc0bfbdcd885970c6a0b32,8df4e9c9c5c75d3a27efd0556ee4d64b,2f4967c77ab8972f436a9b65bb35b8c1,e16b67dae413ab7d83ecb9aeaab847f4,4,4,4,4,3,3,3,3
i5376,5376,"0,1,2,3",4,3925847002dc4ffbdc0a8597df6a0b32,8df4e982c5c7d73a2793d0551ee4d64b,2f4967ba7ab83a2f43f79b65fb35b8c1,e16b67e3e413c77d8372b9ae73b847f4,4,4,4,4,3,3,3,3
i5380,5380,"0,1,2,3",4,,,,,-1,-1,-1,-1,-1,-1,-1,-1
i5384,5384,"0,1,2,3",4,3925847002dc4ffbdcd48597df6a0b32,8df4e982c5c7d73a27bbd0551ee4d64b,2f4967ba7ab83a2f431f9b65fb35b8c1,e16b67e3e413c77d83f2b9ae73b847f4,4,4,4,4,3,3,3,3
i5388,5388,"0,1,2,3",4,3925841d02dc09fbdc118597df6a0b32,8df4e9aac5c7573a27d8d0551ee4d64b,2f49671c7ab81b2f435d9b65fb35b8c1,e16b676be413d87d83edb9ae73b847f4,1,1,1,1,-1,-1,-1,-1
i5392,5392,"0,1,2,3",4,3925841d02dc09fbdc118597df6a0b32,8df4e9aac5c7573a27d8d0551ee4d64b,2f49671c7ab81b2f435d9b65fb35b8c1,e16b676be413d87d83edb9ae73b847f4,1,1,1,1,-1,-1,-1,-1
